Name	Abbr	Group	ISSN	eISSN	IF_2025	Five_Year_JIF	JIF_Quartile	JIF_Rank
Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology	J COMP PHYSIOL B	SPRINGER HEIDELBERG	0174-1578	1432-136X	1.6	1.8	Q2	53/181
Mammal Research	MAMMAL RES	SPRINGER HEIDELBERG	2199-2401	2199-241X	1.6	1.7	Q2	53/181
MARINE MICROPALEONTOLOGY	MAR MICROPALEONTOL	ELSEVIER	0377-8398	1872-6186	1.6	1.7	Q2	23/56
PROBABILITY THEORY AND RELATED FIELDS	PROBAB THEORY REL	SPRINGER HEIDELBERG	0178-8051	1432-2064	1.6	2.1	Q2	51/167
Psychology of Popular Media	PSYCHOL POP MEDIA	EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC	2689-6567	2689-6575	1.6	2.7	Q2	93/227
Surveillance & Society	SURVEILL SOC	SURVEILLANCE STUDIES NETWORK	1477-7487	1477-7487	1.6	2.3	Q2	83/271
HEALTH CARE ANALYSIS	HEALTH CARE ANAL	SPRINGER	1065-3058	1573-3394	1.6	2.4	Q2	34/77
Advances in Neonatal Care	ADV NEONAT CARE	LIPPINCOTT WILLIAMS & WILKINS	1536-0903	1536-0911	1.6	2.0	Q2	93/192
Journal of Knee Surgery	J KNEE SURG	GEORG THIEME VERLAG KG	1538-8506	1938-2480	1.6	2.0	Q3	78/139
JOURNAL OF PALEONTOLOGY	J PALEONTOL	CAMBRIDGE UNIV PRESS	0022-3360	1937-2337	1.6	1.4	Q2	23/56
Comparative Population Studies	COMP POPUL STUD	BUNDESINSTITUT BEVOELKERUNGSFORSCHUNG	1869-8980	1869-8999	1.6	1.9	Q2	22/50
Current Transplantation Reports	CURR TRANSPLANT REP	SPRINGERNATURE		2196-3029	1.6	1.7	Q2	156/312
Journal of Multicultural Discourses	J MULTICULT DISCOURS	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1744-7143	1747-6615	1.6	1.7	Q1	9/64
SYMBOLIC INTERACTION	SYMB INTERACT	WILEY	0195-6086	1533-8665	1.6	2.0	Q2	91/219
Tertiary Education and Management	TERT EDUC MANAG	SPRINGER	1358-3883	1573-1936	1.6	1.9	Q2	280/756
Cogent Social Sciences	COGENT SOC SCI	TAYLOR & FRANCIS LTD	2331-1886	2331-1886	1.6	1.9	Q2	83/271
Communication Research Reports	COMMUN RES REP	TAYLOR & FRANCIS LTD	0882-4096	1746-4099	1.6	1.4	Q2	93/227
Journal of Medical Education and Curricular Development	J MED EDUC CURRIC DE	SAGE PUBLICATIONS LTD	2382-1205	2382-1205	1.6	2.5	Q2	42/86
NONLINEARITY	NONLINEARITY	IOP Publishing Ltd	0951-7715	1361-6544	1.6	1.9	Q2	98/343
Policing-A Journal of Policy and Practice	POLIC-J POLICY PRACT	OXFORD UNIV PRESS	1752-4512	1752-4520	1.6	1.9	Q2	43/111
Chemistry Teacher International	CHEM TEACH INT	WALTER DE GRUYTER GMBH		2569-3263	1.6	1.9	Q2	42/86
QUALITY ASSURANCE IN EDUCATION	QUAL ASSUR EDUC	EMERALD GROUP PUBLISHING LTD	0968-4883	1758-7662	1.6	1.7	Q2	280/756
Asian Population Studies	ASIAN POPUL STUD	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1744-1730	1744-1749	1.6	2.1	Q2	22/50
Journal of Poverty and Social Justice	J POVERTY SOC JUSTIC	POLICY PRESS	1759-8273	1759-8281	1.6	1.7	Q2	83/271
PEDIATRIC SURGERY INTERNATIONAL	PEDIATR SURG INT	SPRINGER	0179-0358	1437-9813	1.6	1.8	Q2	91/191
SURGERY TODAY	SURG TODAY	SPRINGER	0941-1291	1436-2813	1.6	2.1	Q2	156/312
Annals of Surgical Treatment and Research	ANN SURG TREAT RES	KOREAN SURGICAL SOCIETY	2288-6575	2288-6796	1.6	1.6	Q2	156/312
Frontiers in Communication	FRONT COMMUN	FRONTIERS MEDIA SA		2297-900X	1.6	2.3	Q2	93/227
International Journal of Performance Analysis in Sport	INT J PERF ANAL SPOR	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	2474-8668	1474-8185	1.6	2.4	Q3	74/133
Journal of Family Studies	J FAM STUD	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1322-9400	1839-3543	1.6	2.0	Q2	28/66
Journal of Survey Statistics and Methodology	J SURV STAT METHODOL	OXFORD UNIV PRESS INC	2325-0984	2325-0992	1.6	2.1	Q2	51/167
Studies in Conflict & Terrorism	STUD CONFL TERROR	TAYLOR & FRANCIS INC	1057-610X	1521-0731	1.6	2.0	Q2	64/169
Qualitative Report	QUAL REP	NOVA SOUTHEASTERN UNIV	1052-0147	2160-3715	1.6	1.9	Q2	83/271
BULLETIN OF ENTOMOLOGICAL RESEARCH	B ENTOMOL RES	CAMBRIDGE UNIV PRESS	0007-4853	1475-2670	1.6	1.7	Q2	41/110
Facial Plastic Surgery & Aesthetic Medicine	FACIAL PLAST SURG AE	"MARY ANN LIEBERT, INC"	2689-3614	2689-3622	1.6	2.0	Q2	156/312
Japan Journal of Nursing Science	JPN J NURS SCI	WILEY	1742-7932	1742-7924	1.6	2.1	Q2	93/192
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY	J R STAT SOC A STAT	OXFORD UNIV PRESS	0964-1998	1467-985X	1.6	2.3	Q2	51/167
Asia-Pacific Journal of Teacher Education	ASIA-PAC J TEACH EDU	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1359-866X	1469-2945	1.6	2.6	Q2	280/756
ENVIRONMENTAL VALUES	ENVIRON VALUE	SAGE PUBLICATIONS INC	0963-2719	1752-7015	1.6	1.8	Q2	34/77
HOLZFORSCHUNG	HOLZFORSCHUNG	WALTER DE GRUYTER GMBH	0018-3830	1437-434X	1.6	2.0	Q2	9/24
Journal of Adventure Education and Outdoor Learning	J ADVENTURE EDUC OUT	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1472-9679	1754-0402	1.6	2.0	Q2	280/756
Journal of Research on Leadership Education	J RES LEADERSH EDUC	SAGE PUBLICATIONS INC	1942-7751	1942-7751	1.6	1.9	Q2	280/756
Kotuitui-New Zealand Journal of Social Sciences Online	KOTUITUI	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"		1177-083X	1.6	1.8	Q2	83/271
Politics Philosophy & Economics	POLIT PHILOS ECON	SAGE PUBLICATIONS INC	1470-594X	1741-3060	1.6	1.5	Q2	134/322
Journal of Veterinary Behavior-Clinical Applications and Research	J VET BEHAV	ELSEVIER SCIENCE INC	1558-7878	1878-7517	1.6	1.8	Q2	67/170
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE	AM J TROP MED HYG	AMER SOC TROP MED & HYGIENE	0002-9637	1476-1645	1.6	2.0	Q3	18/28
Fennia-International Journal of Geography	FENNIA	GEOGRAPHICAL SOC FINLAND	0015-0010	1798-5617	1.6	1.8	Q2	75/173
JOURNAL OF CHILD NEUROLOGY	J CHILD NEUROL	SAGE PUBLICATIONS INC	0883-0738	1708-8283	1.6	1.9	Q2	91/191
JOURNAL OF EQUINE VETERINARY SCIENCE	J EQUINE VET SCI	ELSEVIER SCIENCE INC	0737-0806	1542-7412	1.6	1.5	Q2	67/170
Journal of Hand Surgery-European Volume	J HAND SURG-EUR VOL	SAGE PUBLICATIONS LTD	1753-1934	2043-6289	1.6	2.1	Q2	156/312
Archives Animal Breeding	ARCH ANIM BREED	COPERNICUS GESELLSCHAFT MBH	0003-9438	2363-9822	1.6	1.8	Q2	40/86
EVALUATION & THE HEALTH PROFESSIONS	EVAL HEALTH PROF	SAGE PUBLICATIONS INC	0163-2787	1552-3918	1.6	2.2	Q3	128/185
Foot and Ankle Clinics	FOOT ANKLE CLIN	W B SAUNDERS CO-ELSEVIER INC	1083-7515	1558-1934	1.6	2.0	Q3	78/139
Gland Surgery	GLAND SURG	AME PUBLISHING COMPANY	2227-684X	2227-8575	1.6	2.0	Q2	156/312
International Journal of Emergency Services	INT J EMERG SERV	EMERALD GROUP PUBLISHING LTD	2047-0894	2047-0908	1.6	1.3	Q2	83/271
JOURNAL OF POULTRY SCIENCE	J POULT SCI	JAPAN POULTRY SCIENCE ASSOC	1346-7395	1349-0486	1.6	1.9	Q2	40/86
Minerva Dental and Oral Science	MINERVA DENT ORAL SC	EDIZIONI MINERVA MEDICA	2724-6329	2724-6337	1.6	1.5	Q3	97/162
WILDLIFE RESEARCH	WILDLIFE RES	CSIRO PUBLISHING	1035-3712	1448-5494	1.6	2.0	Q2	53/181
ANNALS OF PLASTIC SURGERY	ANN PLAS SURG	LIPPINCOTT WILLIAMS & WILKINS	0148-7043	1536-3708	1.6	1.8	Q2	156/312
Journal of Exercise Rehabilitation	J EXERC REHABIL	KOREAN SOC EXERCISE REHABILITATION	2288-176X	2288-1778	1.6	1.8	Q2	75/173
Journal of Orofacial Orthopedics-Fortschritte der Kieferorthopadie	J OROFAC ORTHOP	URBAN & VOGEL	1434-5293	1615-6714	1.6	2.1	Q3	97/162
Journal of Race Ethnicity and Politics	J RACE ETHN POLITICS	CAMBRIDGE UNIV PRESS		2056-6085	1.6		Q2	15/39
Moravian Geographical Reports	MORAV GEOGR REP	SCIENDO	1210-8812	2199-6202	1.6	1.8	Q2	75/173
Research in Gerontological Nursing	RES GERONTOL NURS	SLACK INC	1940-4921	1938-2464	1.6	1.7	Q2	93/192
Revista Mediterranea Comunicacion-Journal of Communication	REV MEDITERR COMUN	UNIV ALICANTE	1989-872X	1989-872X	1.6	1.2	Q2	93/227
COUNSELOR EDUCATION AND SUPERVISION	COUNS EDUC SUPERV	WILEY	0011-0035	1556-6978	1.6	1.8	Q3	70/115
JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS	J NONLINEAR MATH PHY	SPRINGERNATURE	1402-9251	1776-0852	1.6	1.2	Q2	98/343
STATISTICS AND COMPUTING	STAT COMPUT	SPRINGER	0960-3174	1573-1375	1.6	2.2	Q2	51/167
Wine Economics and Policy	WINE ECON POLICY	FIRENZE UNIV PRESS	2213-3968	2212-9774	1.6		Q2	20/43
BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY	BEHAV COGN PSYCHOTH	CAMBRIDGE UNIV PRESS	1352-4658	1469-1833	1.6	2.2	Q3	111/185
ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH	ONDERSTEPOORT J VET	AOSIS	0030-2465	2219-0635	1.6	1.9	Q2	67/170
SIAM JOURNAL ON COMPUTING	SIAM J COMPUT	SIAM PUBLICATIONS	0097-5397	1095-7111	1.6	2.1	Q2	98/343
Atencion Primaria	ATEN PRIM	EDICIONES DOYMA S A	0212-6567	1578-1275	1.6	1.9	Q2	124/332
CLINICS IN SPORTS MEDICINE	CLIN SPORT MED	W B SAUNDERS CO-ELSEVIER INC	0278-5919	1556-228X	1.6	2.3	Q3	74/133
FETAL DIAGNOSIS AND THERAPY	FETAL DIAGN THER	KARGER	1015-3837	1421-9964	1.6	1.9	Q3	86/140
Journal of Child Health Care	J CHILD HEALTH CARE	SAGE PUBLICATIONS LTD	1367-4935	1741-2889	1.6	2.1	Q2	91/191
Journal of Human Rights	J HUM RIGHTS	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1475-4835	1475-4843	1.6	1.7	Q2	64/169
Small Wars and Insurgencies	SMALL WAR INSUR	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0959-2318	1743-9558	1.6	1.3	Q2	64/169
Agrekon	AGREKON	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0303-1853	2078-0400	1.6	1.5	Q2	20/43
Journal of Childrens Orthopaedics	J CHILD ORTHOP	SAGE PUBLICATIONS INC	1863-2521	1863-2548	1.6	1.7	Q2	91/191
Communication Today	COMMUN TODAY	UNIV SS CYRIL & METHODIUS TRNAVA	1338-130X	1338-130X	1.6	1.3	Q2	93/227
Economic Systems Research	ECON SYST RES	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0953-5314	1469-5758	1.6	2.1	Q2	276/617
Journal of Gynecology Obstetrics and Human Reproduction	J GYNECOL OBSTET HUM	"ELSEVIER MASSON, CORP OFF"	2468-7847	1773-0430	1.6	1.9	Q3	86/140
Journal of Maternal-Fetal & Neonatal Medicine	J MATERN-FETAL NEO M	TAYLOR & FRANCIS LTD	1476-7058	1476-4954	1.6	1.8	Q3	86/140
RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY	RESP PHYSIOL NEUROBI	ELSEVIER	1569-9048	1878-1519	1.6	1.8	Q3	76/108
ANZ JOURNAL OF SURGERY	ANZ J SURG	WILEY	1445-1433	1445-2197	1.6	1.7	Q2	156/312
CLINICAL NEUROLOGY AND NEUROSURGERY	CLIN NEUROL NEUROSUR	ELSEVIER	0303-8467	1872-6968	1.6	1.8	Q2	156/312
Journal of Orthopaedic Surgery	J ORTHOP SURG-HONG K	SAGE PUBLICATIONS LTD	1022-5536	2309-4990	1.6	1.7	Q2	156/312
Advances in Orthopedics	ADV ORTHOP	WILEY	2090-3464	2090-3472	1.6	1.6	Q3	78/139
Geriatric Orthopaedic Surgery & Rehabilitation	GERIATR ORTHOP SURG	SAGE PUBLICATIONS INC	2151-4585	2151-4593	1.6	2.0	Q2	75/173
Health Marketing Quarterly	HEALTH MARK Q	TAYLOR & FRANCIS LTD	0735-9683	1545-0864	1.6		Q3	215/316
JOURNAL OF DENTAL EDUCATION	J DENT EDUC	WILEY	0022-0337	1930-7837	1.6	1.9	Q3	97/162
Pediatric Gastroenterology Hepatology & Nutrition	PEDIATR GASTROENTERO	KOREAN SOC PEDIATRIC GASTROENTEROLOGY & NUTRITION	2234-8646	2234-8840	1.6	1.9	Q2	91/191
International Review of Social Psychology	INT REV SOC PSYCHOL	UBIQUITY PRESS LTD	2397-8570	2397-8570	1.6	3.2	Q3	56/78
JOURNAL OF HELMINTHOLOGY	J HELMINTHOL	CAMBRIDGE UNIV PRESS	0022-149X	1475-2697	1.6	1.6	Q2	53/181
Tree Genetics & Genomes	TREE GENET GENOMES	SPRINGER HEIDELBERG	1614-2942	1614-2950	1.6	2.0	Q2	43/92
CHINESE JOURNAL OF PHYSIOLOGY	CHINESE J PHYSIOL	WOLTERS KLUWER MEDKNOW PUBLICATIONS	0304-4920	2666-0059	1.6	1.5	Q4	71/87
Communication Reports	COMMUN REP	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0893-4215	1745-1043	1.6	2.5	Q2	93/227
Journal of Behavioral and Cognitive Therapy	J BEHAV COGN THER	ELSEVIER	2589-9791	2589-9791	1.6		Q3	111/185
Journal of the American Association of Nurse Practitioners	J AM ASSOC NURSE PRA	LIPPINCOTT WILLIAMS & WILKINS	2327-6886	2327-6924	1.6	1.6	Q2	93/192
OPEN SYSTEMS & INFORMATION DYNAMICS	OPEN SYST INF DYN	WORLD SCIENTIFIC PUBL CO PTE LTD	1230-1612	1793-7191	1.6	0.9	Q2	51/167
PEDIATRICS IN REVIEW	PEDIATR REV	AMER ACAD PEDIATRICS	0191-9601	1526-3347	1.6	1.9	Q2	91/191
Women	WOMEN-BASEL	MDPI		2673-4184	1.6	1.6	Q2	25/70
AGING NEUROPSYCHOLOGY AND COGNITION	AGING NEUROPSYCHOL C	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1382-5585	1744-4128	1.6	1.9	Q3	70/102
ASIAN JOURNAL OF SOCIAL PSYCHOLOGY	ASIAN J SOC PSYCHOL	WILEY	1367-2223	1467-839X	1.6	2.2	Q3	56/78
Clinical and Experimental Reproductive Medicine-CERM	CLIN EXP REPROD MED	KOREAN SOC REPRODUCTIVE MEDICINE	2233-8233	2233-8241	1.6	1.8	Q3	86/140
Dynamic Games and Applications	DYN GAMES APPL	SPRINGER BIRKHAUSER	2153-0785	2153-0793	1.6	1.7	Q3	71/136
International Journal of Micro Air Vehicles	INT J MICRO AIR VEH	SAGE PUBLICATIONS LTD	1756-8293	1756-8307	1.6	1.9	Q2	24/55
Journal for Specialists in Pediatric Nursing	J SPEC PEDIATR NURS	WILEY	1539-0136	1744-6155	1.6	1.8	Q2	91/191
JOURNAL OF VIROLOGICAL METHODS	J VIROL METHODS	ELSEVIER	0166-0934	1879-0984	1.6	1.9	Q4	32/42
Plant Gene	PLANT GENE	ELSEVIER	2352-4073	2352-4073	1.6		Q3	139/273
PSYCHOLOGICAL REPORTS	PSYCHOL REP	SAGE PUBLICATIONS INC	0033-2941	1558-691X	1.6	2.3	Q2	103/221
Current Pediatric Reviews	CURR PEDIATR REV	BENTHAM SCIENCE PUBL LTD	1573-3963	1875-6336	1.6	2.5	Q2	91/191
FOLIA PARASITOLOGICA	FOLIA PARASIT	FOLIA PARASITOLOGICA	0015-5683	1803-6465	1.6	1.5	Q3	29/47
Journal of Second Language Pronunciation	J SECOND LANG PRONUN	JOHN BENJAMINS PUBLISHING CO	2215-1931	2215-194X	1.6		Q2	80/303
MULTISCALE MODELING & SIMULATION	MULTISCALE MODEL SIM	SIAM PUBLICATIONS	1540-3459	1540-3467	1.6	1.8	Q2	25/61
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS	ACM T PROGR LANG SYS	ASSOC COMPUTING MACHINERY	0164-0925	1558-4593	1.6	2.4	Q3	82/128
ANNALS OF VASCULAR SURGERY	ANN VASC SURG	ELSEVIER SCIENCE INC	0890-5096	1615-5947	1.6	1.5	Q2	156/312
Behavior and Social Issues	BEHAV SOC ISSUES	SPRINGER	1064-9506	2376-6786	1.6	1.5	Q2	103/221
Drugs Habits and Social Policy	DRUG HABIT SOC POLIC	EMERALD GROUP PUBLISHING LTD	2752-6739	2752-6747	1.6	1.6	Q4	44/58
Health Security	HEALTH SECUR	"MARY ANN LIEBERT, INC"	2326-5094	2326-5108	1.6	2.1	Q3	277/419
Innovations-Technology and Techniques in Cardiothoracic and Vascular Surgery	INNOVATIONS	SAGE PUBLICATIONS INC	1556-9845	1559-0879	1.6	1.7	Q2	156/312
Monash Bioethics Review	MONASH BIOETH REV	SPRINGER HEIDELBERG	1321-2753	1836-6716	1.6	1.5	Q2	34/77
RESEARCH QUARTERLY FOR EXERCISE AND SPORT	RES Q EXERCISE SPORT	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0270-1367	2168-3824	1.6	2.3	Q3	74/133
Behavioral Sleep Medicine	BEHAV SLEEP MED	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1540-2002	1540-2010	1.6	2.8	Q3	194/288
CARDIOLOGY CLINICS	CARDIOL CLIN	W B SAUNDERS CO-ELSEVIER INC	0733-8651	1558-2264	1.6	2.4	Q3	146/230
CHILD & YOUTH CARE FORUM	CHILD YOUTH CARE FOR	SPRINGER	1053-1890	1573-3319	1.6	2.2	Q4	72/94
COMPUTATIONAL STATISTICS & DATA ANALYSIS	COMPUT STAT DATA AN	ELSEVIER	0167-9473	1872-7352	1.6	1.9	Q2	51/167
EXPERIMENTAL PARASITOLOGY	EXP PARASITOL	ACADEMIC PRESS INC ELSEVIER SCIENCE	0014-4894	1090-2449	1.6	1.8	Q3	29/47
Journal for Nurses in Professional Development	J NURSES PROF DEV	LIPPINCOTT WILLIAMS & WILKINS	2169-9798	2169-981X	1.6	1.4	Q2	93/192
JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY	J RADIOANAL NUCL CH	SPRINGER	0236-5731	1588-2780	1.6	1.6	Q3	23/41
BioResources	BIORESOURCES	NORTH CAROLINA STATE UNIV DEPT WOOD & PAPER SCI	1930-2126	1930-2126	1.6	1.7	Q2	9/24
Freshwater Science	FRESHW SCI	UNIV CHICAGO PRESS	2161-9549	2161-9565	1.6	1.8	Q3	60/119
Health Services and Outcomes Research Methodology	HEALTH SERV OUTCOME	SPRINGER	1387-3741	1572-9400	1.6	1.6	Q3	128/185
JOURNAL OF EDUCATIONAL MEASUREMENT	J EDUC MEAS	WILEY	0022-0655	1745-3984	1.6	1.5	Q3	70/115
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY	J REPROD INFANT PSYC	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0264-6838	1469-672X	1.6	2.4	Q2	103/221
Proteome Science	PROTEOME SCI	BMC		1477-5956	1.6	1.8	Q4	71/86
SCANDINAVIAN JOURNAL OF ECONOMICS	SCAND J ECON	WILEY	0347-0520	1467-9442	1.6	1.4	Q2	276/617
Telemedicine Reports	TELEMED REP	"MARY ANN LIEBERT, INC"		2692-4366	1.6	1.9	Q3	128/185
Cardiovascular Ultrasound	CARDIOVASC ULTRASOUN	BMC		1476-7120	1.6	2.3	Q3	146/230
Proceedings of the Institution of Civil Engineers-Urban Design and Planning	PROC INST CIV ENG-U	EMERALD GROUP PUBLISHING LTD	1755-0793	1755-0807	1.6	1.4	Q3	47/76
Surgical Innovation	SURG INNOV	SAGE PUBLICATIONS INC	1553-3506	1553-3514	1.6	1.7	Q2	156/312
Holistic Nursing Practice	HOLIST NURS PRACT	LIPPINCOTT WILLIAMS & WILKINS	0887-9311	1550-5138	1.6	1.5	Q2	93/192
Hong Kong Journal of Occupational Therapy	HONG KONG J OCCUP TH	SAGE PUBLICATIONS LTD	1569-1861	1876-4398	1.6	1.5	Q2	75/173
Oceans-Switzerland	OCEANS-BASEL	MDPI		2673-1924	1.6	1.9	Q3	60/119
AERONAUTICAL JOURNAL	AERONAUT J	CAMBRIDGE UNIV PRESS	0001-9240	2059-6464	1.6	1.6	Q2	24/55
BEHAVIOURAL PHARMACOLOGY	BEHAV PHARMACOL	LIPPINCOTT WILLIAMS & WILKINS	0955-8810	1473-5849	1.6	1.8	Q4	43/57
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT	CAN J BEHAV SCI	CANADIAN PSYCHOLOGICAL ASSOC	0008-400X	1879-2669	1.6	2.1	Q2	103/221
European Journal of Political Theory	EUR J POLIT THEORY	SAGE PUBLICATIONS LTD	1474-8851	1741-2730	1.6	1.4	Q2	134/322
Frontiers of Earth Science	FRONT EARTH SCI-PRC	SPRINGER	2095-0195	2095-0209	1.6	1.8	Q3	169/258
Journal of Mental Health Policy and Economics	J MENT HEALTH POLICY	INT CTR MENTAL HEALTH POLICY & ECONOMICS-ICMPE	1091-4358	1099-176X	1.6	1.5	Q3	194/288
Plant Ecology & Diversity	PLANT ECOL DIVERS	TAYLOR & FRANCIS LTD	1755-0874	1755-1668	1.6	2.2	Q3	139/273
Polar Geography	POLAR GEOGR	TAYLOR & FRANCIS INC	1088-937X	1939-0513	1.6	2.8	Q3	49/67
RELIEVE-Revista Electronica de Investigacion y Evaluacion Educativa	RELIEVE	ASOC INTERUNIVERSITARIA INVESTIGACION PEDAGOGICA	1134-4032	1134-4032	1.6	1.8	Q2	280/756
SPECTROSCOPY LETTERS	SPECTROSC LETT	TAYLOR & FRANCIS INC	0038-7010	1532-2289	1.6	1.7	Q3	28/44
Biomedical Physics & Engineering Express	BIOMED PHYS ENG EXPR	IOP Publishing Ltd	2057-1976	2057-1976	1.6	1.5	Q3	133/212
BMJ Open Quality	BMJ OPEN QUAL	BMJ PUBLISHING GROUP		2399-6641	1.6	1.7	Q2	124/332
ENTOMOLOGICAL RESEARCH	ENTOMOL RES	WILEY	1738-2297	1748-5967	1.6	1.5	Q2	41/110
JBJS Essential Surgical Techniques	JBJS ESSENT SURG TEC	LIPPINCOTT WILLIAMS & WILKINS	2160-2204	2160-2204	1.6	2.4	Q2	156/312
Journal of Dance Medicine & Science	J DANCE MED SCI	SAGE PUBLICATIONS INC	1089-313X	2374-8060	1.6	1.4	Q3	74/133
Osong Public Health and Research Perspectives	OSONG PUBLIC HEALTH	KOREA DISEASE CONTROL & PREVENTION AGENCY	2210-9099	2233-6052	1.6		Q3	277/419
Visceral Medicine	VISC MED	KARGER	2297-4725	2297-475X	1.6	2.4	Q2	156/312
BIOLOGICAL AGRICULTURE & HORTICULTURE	BIOL AGRIC HORTIC	TAYLOR & FRANCIS LTD	0144-8765	2165-0616	1.6	1.7	Q2	22/45
EUROPEAN JOURNAL OF PROTISTOLOGY	EUR J PROTISTOL	ELSEVIER GMBH	0932-4739	1618-0429	1.6	1.6	Q4	137/163
INTERNATIONAL JOURNAL OF MODERN PHYSICS C	INT J MOD PHYS C	WORLD SCIENTIFIC PUBL CO PTE LTD	0129-1831	1793-6586	1.6	1.3	Q2	25/61
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR	J THEOR SOC BEHAV	WILEY	0021-8308	1468-5914	1.6	1.5	Q3	56/78
Journal of Chinese Economic and Foreign Trade Studies	J CHIN ECON FOREIGN	EMERALD GROUP PUBLISHING LTD	1754-4408	1754-4416	1.6	1.6	Q2	276/617
Middle East Current Psychiatry-MECPsych	MIDDLE EAST CURR PSY	SPRINGERNATURE		2090-5416	1.6		Q3	194/288
Open Agriculture	OPEN AGRIC	DE GRUYTER POLAND SP Z O O	2391-9531	2391-9531	1.6	2.0	Q2	38/94
Public Library Quarterly	PUBLIC LIBR Q	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0161-6846	1541-1540	1.6	1.7	Q2	71/166
CONGENITAL ANOMALIES	CONGENIT ANOM	WILEY	0914-3505	1741-4520	1.6	1.3	Q2	91/191
ECONOMICA	ECONOMICA	WILEY	0013-0427	1468-0335	1.6	1.9	Q2	276/617
FOLIA NEUROPATHOLOGICA	FOLIA NEUROPATHOL	TERMEDIA PUBLISHING HOUSE LTD	1641-4640	1509-572X	1.6	2.3	Q3	56/90
HORTSCIENCE	HORTSCIENCE	AMER SOC HORTICULTURAL SCIENCE	0018-5345	2327-9834	1.6	1.9	Q2	22/45
JOURNAL OF MUSCULOSKELETAL & NEURONAL INTERACTIONS	J MUSCULOSKEL NEURON	JMNI	1108-7161		1.6	2.3	Q4	71/87
Journal of Public Health-Heidelberg	J PUBLIC HEALTH-HEID	SPRINGER HEIDELBERG	2198-1833	1613-2238	1.6	1.6	Q3	277/419
Local Economy	LOCAL ECON	SAGE PUBLICATIONS LTD	0269-0942	1470-9325	1.6	1.8	Q2	276/617
PHOTOSYNTHETICA	PHOTOSYNTHETICA	"ACAD SCIENCES CZECH REPUBLIC, INST EXPERIMENTAL BOTANY"	0300-3604	1573-9058	1.6	2.4	Q3	139/273
Revista de Contabilidad-Spanish Accounting Review	REV CONTAB	UNIV MURCIA	1138-4891	1988-4672	1.6	1.8	Q3	133/241
Revista Portuguesa de Cardiologia	REV PORT CARDIOL	ELSEVIER ESPANA SLU	0870-2551	0304-4750	1.6	1.5	Q3	146/230
World Journal of Engineering	WORLD J ENG	EMERALD GROUP PUBLISHING LTD	1708-5284	1708-5284	1.6	1.6	Q2	79/175
AUSTRAL ECOLOGY	AUSTRAL ECOL	WILEY	1442-9985	1442-9993	1.6	1.8	Q3	134/200
AUSTRALIAN SYSTEMATIC BOTANY	AUST SYST BOT	CSIRO PUBLISHING	1030-1887	1446-5701	1.6	1.5	Q3	139/273
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE	CAN J EXP PSYCHOL	CANADIAN PSYCHOLOGICAL ASSOC	1196-1961	1878-7290	1.6	1.5	Q3	70/102
Clinical and Translational Imaging	CLIN TRANSL IMAGING	SPRINGER-VERLAG ITALIA SRL	2281-5872	2281-7565	1.6	1.9	Q3	133/212
EXPERIMENTAL BRAIN RESEARCH	EXP BRAIN RES	SPRINGER	0014-4819	1432-1106	1.6	1.9	Q4	262/314
